value,confidence,x1,y1,x2,y2,tile_id,word_idx
"EXPANSION,",0.9961158037185669,0.096435546875,0.11474609375,0.11528862847222222,0.11983235677083333,0,220
T,0.9961038827896118,0.9375,0.8732096354166666,0.9427083333333334,0.8827718098958334,59,221
INTO,0.99604332447052,0.1825629340277778,0.14363606770833334,0.18961588541666666,0.1483154296875,1,222
TENDON,0.9958655834197998,0.06089952256944445,0.1605224609375,0.07378472222222222,0.16560872395833334,10,223
REVIEWED,0.9958631992340088,0.1677788628472222,0.19246419270833334,0.18296983506944445,0.19694010416666666,1,224
PLAN.,0.9957982897758484,0.177001953125,0.22379557291666666,0.1860894097222222,0.22847493489583334,11,225
DESCRIPTION,0.9957668781280518,0.9357367621527778,0.6365966796875,0.9559461805555556,0.640869140625,48,226
PRIOR,0.9957459568977356,0.052490234375,0.10477701822916667,0.06212022569444445,0.10945638020833333,0,227
T,0.9955964684486389,0.1315646701388889,0.20670572916666666,0.1335991753472222,0.20833333333333334,0,228
NOT,0.995546817779541,0.174560546875,0.08992513020833333,0.1813422309027778,0.09541829427083333,1,229
GENERAL,0.9955189228057861,0.12451171875,0.046183268229166664,0.13902452256944445,0.05126953125,1,230
ER,0.9953433871269226,0.9375,0.8601888020833334,0.9460991753472222,0.870361328125,59,231
THE,0.9952320456504822,0.05235460069444445,0.15034993489583334,0.059000651041666664,0.15584309895833334,0,232
i,0.995183527469635,0.7522243923611112,0.6724039713541666,0.7530381944444444,0.6740315755208334,47,233
4,0.9951287508010864,0.3824869791666667,0.6435139973958334,0.3846571180555556,0.6463623046875,33,234
AND,0.9950242638587952,0.1325141059027778,0.14322916666666666,0.13956705729166666,0.14872233072916666,1,235
RS,0.994999885559082,0.10416666666666667,0.0897216796875,0.10782877604166667,0.09562174479166667,1,236
4,0.9948229789733887,0.5592176649305556,0.6439208984375,0.5607096354166666,0.6461588541666666,35,237
"NOTES,",0.9946925044059753,0.1410590277777778,0.045979817708333336,0.152587890625,0.0518798828125,1,238
VERIFY,0.9945915341377258,0.052490234375,0.06327311197916667,0.0637478298611111,0.068359375,0,239
FLOOR,0.9945902824401855,0.9471299913194444,0.8607991536458334,0.9669325086805556,0.8689371744791666,58,240
TENDONS,0.9945224523544312,0.5645073784722222,0.2691650390625,0.5796983506944444,0.2750651041666667,15,241
2.20,0.9943411350250244,0.9375,0.9375,0.9632703993055556,0.9518636067708334,68,242
DETAIL,0.9943389296531677,0.06089952256944445,0.213623046875,0.07147894965277778,0.21891276041666666,10,243
"1:12,",0.994057297706604,0.18174913194444445,0.20609537760416666,0.1901584201388889,0.21219889322916666,11,244
2.2b,0.9940024018287659,0.9393988715277778,0.9332275390625,0.9638129340277778,0.9525553385416666,58,245
STRESSING,0.9938713312149048,0.07636176215277778,0.16092936197916666,0.09358723958333333,0.16520182291666666,0,246
SWEEP,0.993854284286499,0.10172526041666667,0.1922607421875,0.11244032118055555,0.1971435546875,10,247
PROJECT,0.9938271641731262,0.9130859375,0.6113688151041666,0.9270562065972222,0.6156412760416666,38,248
TO,0.9935488104820251,0.11393229166666667,0.15034993489583334,0.118408203125,0.15584309895833334,1,249
"9'-0""",0.9934275150299072,0.5269368489583334,0.15340169270833334,0.5373806423611112,0.1605224609375,5,250
-,0.9932788014411926,0.5536566840277778,0.9501139322916666,0.5550130208333334,0.9529622395833334,54,251
CONCRETE.,0.9932768940925598,0.08653428819444445,0.20670572916666666,0.1040310329861111,0.211181640625,10,252
SLEEVES,0.9931963682174683,0.1169162326388889,0.1434326171875,0.13075086805555555,0.14851888020833334,0,253
UPPER,0.9930166006088257,0.9250217013888888,0.8607991536458334,0.9449598524305556,0.8689371744791666,58,254
DIMENSIONS,0.9928828477859497,0.07364908854166667,0.0634765625,0.0927734375,0.06795247395833333,0,255
MARKED;,0.9927045702934265,0.1312934027777778,0.23356119791666666,0.1449924045138889,0.2386474609375,11,256
OF,0.9923640489578247,0.9376898871527778,0.2687581380208333,0.9428439670138888,0.274658203125,19,257
DESIGN,0.9923622608184814,0.13075086805555555,0.07303873697916667,0.1422797309027778,0.078125,1,258
I,0.9923560619354248,0.2772352430555556,0.7255045572916666,0.2780490451388889,0.7271321614583334,42,259
